"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 14 21:42:44 CST 2021","Wed Jul 14 21:42:44 CST 2021","230","test_case","test_case","TestCase","","","test_02",""
"passed","Wed Jul 14 21:42:44 CST 2021","Wed Jul 14 21:42:53 CST 2021","8956","test_case","test_case","TestCase","","","test_01[utxt0]",""
